x,y
1.8,0.1
2.01,0
2.03,0.1
2.04,0.2
2.05,0.3
2.08,0.5
2.09,0.6
2.11,0.7
2.12,0.8
2.15,1
2.16,1.1
2.17,1.2
2.18,1.2
2.19,1.3
2.2,1.4
2.23,1.6
2.24,1.7
2.26,1.8
2.27,1.9
2.29,2
2.32,2.2
2.34,2.3
2.35,2.4
2.36,2.5
2.38,2.6
2.41,2.8
2.43,2.9
2.44,3
2.46,3.1
2.47,3.2
2.5,3.4
