x,y
-0.4,0.9
-0.301,0.88
-0.2,0.864
-0.1,0.846
0,0.827
0.101,0.81
0.2,0.791
0.3,0.73
0.4,0.755
0.5,0.736
0.6,0.718
0.7,0.7
0.8,0.687
0.9,0.675
1,0.662
1.1,0.65
1.2,0.638
1.3,0.6
