x,y
-0.3,-1
-0.203,-1.018
-0.105,-1.037
0,-1.06
0.101,-1.075
0.298,-1.11
0.4,-1.13
0.5,-1.15
0.6,-1.19
0.8,-1.24
0.9,-1.26
1,-1.3
