x,y
2.2,1.4
2.2,1.5
2.23,1.6
2.24,1.7
2.26,1.8
2.27,1.9
2.29,2
2.3,2.1
2.32,2.2
2.34,2.3
2.35,2.4
2.36,2.5
2.38,2.6
2.4,2.7
2.41,2.8
2.43,2.9
2.44,3
2.46,3.1
2.47,3.2
2.49,3.3
2.5,3.4
